Designator,Mid X,Mid Y,Layer,Rotation
C0,147.74,65.5,Top,180
C1,97.44,54.13,Top,270
C2,94.72,54.08,Top,270
C3,88.86,57.92,Top,0
C4,100.15,54.13,Top,270
C5,107.7,62.45,Top,180
C6,149.97,54.02,Top,180
C7,105.15,50.54,Top,180
C8,105.3,54.12,Top,180
D1,110.79,52.31,Top,270
D2,146.89,62.41,Top,180
,,,,
IC1,120.26,56.78,Top,0
L1,134.15,55.09,Top,0
,,,,
,,,,
,,,,
,,,,
R1,87.5,61.55,Top,90
R2,90.08,61.57,Top,90
R3,91.65,53.91,Top,90
R4,89,53.93,Top,90
R5,86.41,53.95,Top,90
R7,143.47,57.18,Top,90
R8,128.96,64.55,Top,180
,,,,
,,,,
U1,96.07,61.08,Top,90
